id,verse_id,recording_id,start,end
38,40024039,JH,465.210,478.660
39,40024040,JH,478.660,487.420
40,40024041,JH,487.420,495.730
41,40024042,JH,495.730,503.430
42,40024043,JH,503.430,521.450
43,40024044,JH,521.450,534.070
44,40024045,JH,534.070,548.450
45,40024046,JH,548.450,557.450
46,40024047,JH,557.450,565.550
47,40024048,JH,565.550,574.050
48,40024049,JH,574.050,583.060
49,40024050,JH,583.060,593.260
50,40024051,JH,593.260,607.806
0,40025001,JH,4.065,19.390
1,40025002,JH,19.390,25.620
2,40025003,JH,25.620,33.890
3,40025004,JH,33.890,42.130
4,40025005,JH,42.130,49.660
5,40025006,JH,49.660,58.480
6,40025007,JH,58.480,66.390
7,40025008,JH,66.390,78.630
8,40025009,JH,78.630,92.990
9,40025010,JH,92.990,107.280
10,40025011,JH,107.280,116.460
11,40025012,JH,116.460,123.410
12,40025013,JH,123.410,130.460
13,40025014,JH,130.460,141.790
14,40025015,JH,141.790,155.330
15,40025016,JH,155.330,165.250
16,40025017,JH,165.250,170.780
17,40025018,JH,170.780,180.750
18,40025019,JH,180.750,190.070
19,40025020,JH,190.070,207.020
20,40025021,JH,207.020,225.050
21,40025022,JH,225.050,237.740
22,40025023,JH,237.740,254.740
23,40025024,JH,254.740,273.250
24,40025025,JH,273.250,282.310
25,40025026,JH,282.310,297.950
26,40025027,JH,297.950,309.440
27,40025028,JH,309.440,316.600
28,40025029,JH,316.600,329.920
29,40025030,JH,329.920,342.700
30,40025031,JH,342.700,356.320
31,40025032,JH,356.320,372.320
32,40025033,JH,372.320,380.920
33,40025034,JH,380.920,398.622
34,40025035,JH,398.622,410.680
35,40025036,JH,410.680,422.220
36,40025037,JH,422.220,437.130
37,40025038,JH,437.130,444.997
38,40025039,JH,444.997,452.230
39,40025040,JH,452.230,469.130
40,40025041,JH,469.130,484.200
41,40025042,JH,484.200,492.280
42,40025043,JH,492.280,504.400
43,40025044,JH,504.400,521.790
44,40025045,JH,521.790,538.360
45,40025046,JH,538.360,547.360
0,40026001,JH,4.626,14.720
1,40026002,JH,14.720,26.731
2,40026003,JH,26.731,38.150
3,40026004,JH,38.150,46.280
4,40026005,JH,46.280,54.450
5,40026006,JH,54.450,61.312
6,40026007,JH,61.312,74.200
7,40026008,JH,74.200,82.490
8,40026009,JH,82.490,88.970
9,40026010,JH,88.970,100.070
10,40026011,JH,100.070,108.050
11,40026012,JH,108.050,117.120
12,40026013,JH,117.120,134.160
13,40026014,JH,134.160,142.577
14,40026015,JH,142.577,155.810
15,40026016,JH,155.810,161.994
16,40026017,JH,161.994,173.470
17,40026018,JH,173.470,190.560
18,40026019,JH,190.560,198.649
19,40026020,JH,198.649,203.820
20,40026021,JH,203.820,213.280
21,40026022,JH,213.280,222.880
22,40026023,JH,222.880,234.070
23,40026024,JH,234.070,253.880
24,40026025,JH,253.880,265.910
25,40026026,JH,265.910,283.370
26,40026027,JH,283.370,293.150
27,40026028,JH,293.150,304.224
28,40026029,JH,304.224,322.540
29,40026030,JH,322.540,328.640
30,40026031,JH,328.640,348.190
31,40026032,JH,348.190,355.410
32,40026033,JH,355.410,366.940
33,40026034,JH,366.940,378.540
34,40026035,JH,378.540,391.300
35,40026036,JH,391.300,407.890
36,40026037,JH,407.890,418.161
37,40026038,JH,418.161,430.680
38,40026039,JH,430.680,453.340
39,40026040,JH,453.340,468.040
40,40026041,JH,468.040,481.450
41,40026042,JH,481.450,498.420
42,40026043,JH,498.420,507.900
43,40026044,JH,507.900,517.250
44,40026045,JH,517.250,534.770
45,40026046,JH,534.770,540.500
46,40026047,JH,540.500,558.425
47,40026048,JH,558.425,570.420
48,40026049,JH,570.420,578.470
49,40026050,JH,578.470,591.830
50,40026051,JH,591.830,606.450
51,40026052,JH,606.450,620.210
52,40026053,JH,620.210,632.260
53,40026054,JH,632.260,639.470
54,40026055,JH,639.470,659.400
55,40026056,JH,659.400,672.940
56,40026057,JH,672.940,685.430
