id,verse_id,recording_id,start,end
3,40018004,TK,22.053,29.200
4,40018005,TK,29.200,35.123
5,40018006,TK,35.123,49.710
6,40018007,TK,49.710,60.210
7,40018008,TK,60.210,75.970
8,40018009,TK,75.970,90.296
9,40018010,TK,90.296,101.930
10,40018011,TK,101.930,105.550
11,40018012,TK,105.550,118.820
12,40018013,TK,118.820,128.259
13,40018014,TK,128.259,135.530
14,40018015,TK,135.530,146.200
15,40018016,TK,146.200,155.750
16,40018017,TK,155.750,165.730
17,40018018,TK,165.730,176.430
18,40018019,TK,176.430,188.780
19,40018020,TK,188.780,195.530
20,40018021,TK,195.530,204.810
21,40018022,TK,204.810,212.300
22,40018023,TK,212.300,221.440
23,40018024,TK,221.440,227.540
24,40018025,TK,227.540,238.590
25,40018026,TK,238.590,247.280
26,40018027,TK,247.280,254.420
27,40018028,TK,254.420,267.630
28,40018029,TK,267.630,276.360
29,40018030,TK,276.360,284.290
30,40018031,TK,284.290,293.710
31,40018032,TK,293.710,304.420
32,40018033,TK,304.420,309.430
33,40018034,TK,309.430,318.040
34,40018035,TK,318.040,328.130
0,40019001,TK,0.000,10.169
1,40019002,TK,10.169,16.170
2,40019003,TK,16.170,27.470
3,40019004,TK,27.470,34.740
4,40019005,TK,34.740,45.620
5,40019006,TK,45.620,55.300
6,40019007,TK,55.300,63.060
7,40019008,TK,63.060,73.990
8,40019009,TK,73.990,86.180
9,40019010,TK,86.180,94.400
10,40019011,TK,94.400,100.630
11,40019012,TK,100.630,120.970
12,40019013,TK,120.970,130.570
13,40019014,TK,130.570,141.460
14,40019015,TK,141.460,145.710
15,40019016,TK,145.710,155.350
16,40019017,TK,155.350,168.980
17,40019018,TK,168.980,177.820
18,40019019,TK,177.820,184.810
19,40019020,TK,184.810,192.070
20,40019021,TK,192.070,204.390
21,40019022,TK,204.390,211.220
22,40019023,TK,211.220,220.080
23,40019024,TK,220.080,230.050
24,40019025,TK,230.050,236.900
25,40019026,TK,236.900,245.600
26,40019027,TK,245.600,255.750
27,40019028,TK,255.750,273.050
28,40019029,TK,273.050,290.960
29,40019030,TK,290.960,297.280
0,40020001,TK,0.900,11.460
1,40020002,TK,11.460,19.280
2,40020003,TK,19.280,24.930
3,40020004,TK,24.930,32.530
4,40020005,TK,32.530,38.620
5,40020006,TK,38.620,47.900
6,40020007,TK,47.900,61.400
7,40020008,TK,61.400,73.270
8,40020009,TK,73.270,78.130
9,40020010,TK,78.130,85.500
10,40020011,TK,85.500,88.320
11,40020012,TK,88.320,98.960
12,40020013,TK,98.960,108.510
13,40020014,TK,108.510,115.020
14,40020015,TK,115.020,124.030
15,40020016,TK,124.030,132.310
16,40020017,TK,132.310,139.440
17,40020018,TK,139.440,148.460
18,40020019,TK,148.460,157.470
19,40020020,TK,157.470,164.980
20,40020021,TK,164.980,177.480
21,40020022,TK,177.480,191.590
22,40020023,TK,191.590,207.660
23,40020024,TK,207.660,212.080
24,40020025,TK,212.080,223.560
25,40020026,TK,223.560,230.810
26,40020027,TK,230.810,235.520
27,40020028,TK,235.520,244.270
28,40020029,TK,244.270,249.780
29,40020030,TK,249.780,260.680
30,40020031,TK,260.680,271.110
31,40020032,TK,271.110,277.280
32,40020033,TK,277.280,282.740
33,40020034,TK,282.740,292.140
0,40021001,TK,0.750,9.060
1,40021002,TK,9.060,21.480
2,40021003,TK,21.480,29.337
3,40021004,TK,29.337,33.900
4,40021005,TK,33.900,44.750
5,40021006,TK,44.750,50.040
6,40021007,TK,50.040,58.020
7,40021008,TK,58.020,67.500
8,40021009,TK,67.500,80.970
9,40021010,TK,80.970,88.090
10,40021011,TK,88.090,94.910
11,40021012,TK,94.910,107.960
12,40021013,TK,107.960,117.116
13,40021014,TK,117.116,122.190
14,40021015,TK,122.190,133.150
15,40021016,TK,133.150,146.630
16,40021017,TK,146.630,152.910
17,40021018,TK,152.910,156.880
18,40021019,TK,156.880,172.158
19,40021020,TK,172.158,178.190
20,40021021,TK,178.190,195.400
21,40021022,TK,195.400,201.170
22,40021023,TK,201.170,214.590
23,40021024,TK,214.590,227.750
24,40021025,TK,227.750,242.170
25,40021026,TK,242.170,250.320
26,40021027,TK,250.320,259.380
27,40021028,TK,259.380,269.500
28,40021029,TK,269.500,275.390
29,40021030,TK,275.390,283.450
30,40021031,TK,283.450,298.990
31,40021032,TK,298.990,313.430
32,40021033,TK,313.430,330.130
33,40021034,TK,330.130,337.830
34,40021035,TK,337.830,345.760
35,40021036,TK,345.760,351.600
36,40021037,TK,351.600,357.290
37,40021038,TK,357.290,370.150
38,40021039,TK,370.150,376.140
39,40021040,TK,376.140,380.860
40,40021041,TK,380.860,392.440
41,40021042,TK,392.440,409.150
42,40021043,TK,409.150,418.230
43,40021044,TK,418.230,426.580
44,40021045,TK,426.580,433.490
45,40021046,TK,433.490,440.410
0,40022001,TK,0.750,4.960
1,40022002,TK,4.960,11.750
2,40022003,TK,11.750,18.140
3,40022004,TK,18.140,32.070
4,40022005,TK,32.070,38.580
5,40022006,TK,38.580,43.630
6,40022007,TK,43.630,52.550
7,40022008,TK,52.550,59.840
8,40022009,TK,59.840,66.740
9,40022010,TK,66.740,76.390
10,40022011,TK,76.390,84.000
11,40022012,TK,84.000,92.010
12,40022013,TK,92.010,105.520
13,40022014,TK,105.520,110.860
14,40022015,TK,110.860,116.600
15,40022016,TK,116.600,132.780
16,40022017,TK,132.780,139.350
17,40022018,TK,139.350,144.700
18,40022019,TK,144.700,150.130
19,40022020,TK,150.130,155.760
20,40022021,TK,155.760,164.680
21,40022022,TK,164.680,169.740
22,40022023,TK,169.740,176.200
23,40022024,TK,176.200,188.780
24,40022025,TK,188.780,198.210
25,40022026,TK,198.210,202.040
26,40022027,TK,202.040,205.460
27,40022028,TK,205.460,211.840
28,40022029,TK,211.840,220.190
29,40022030,TK,220.190,227.950
30,40022031,TK,227.950,234.050
31,40022032,TK,234.050,244.650
32,40022033,TK,244.650,249.810
33,40022034,TK,249.810,255.690
34,40022035,TK,255.690,259.920
35,40022036,TK,259.920,263.210
36,40022037,TK,263.210,274.200
37,40022038,TK,274.200,277.450
38,40022039,TK,277.450,283.390
39,40022040,TK,283.390,288.940
40,40022041,TK,288.940,292.160
41,40022042,TK,292.160,300.520
42,40022043,TK,300.520,305.620
43,40022044,TK,305.620,313.130
44,40022045,TK,313.130,318.000
45,40022046,TK,318.000,326.300
0,40023001,TK,0.750,3.750
1,40023002,TK,3.750,9.920
2,40023003,TK,9.920,19.470
3,40023004,TK,19.470,29.710
4,40023005,TK,29.710,39.990
5,40023006,TK,39.990,46.550
6,40023007,TK,46.550,54.090
7,40023008,TK,54.090,63.770
8,40023009,TK,63.770,70.232
9,40023010,TK,70.232,75.720
10,40023011,TK,75.720,78.900
11,40023012,TK,78.900,85.940
12,40023013,TK,85.940,98.800
13,40023014,TK,98.800,110.130
14,40023015,TK,110.130,122.960
15,40023016,TK,122.960,132.470
16,40023017,TK,132.470,139.880
17,40023018,TK,139.880,147.970
18,40023019,TK,147.970,154.720
19,40023020,TK,154.720,160.600
20,40023021,TK,160.600,166.150
21,40023022,TK,166.150,172.810
22,40023023,TK,172.810,190.780
23,40023024,TK,190.780,197.020
24,40023025,TK,197.020,207.410
25,40023026,TK,207.410,217.150
26,40023027,TK,217.150,231.620
27,40023028,TK,231.620,240.630
28,40023029,TK,240.630,248.350
29,40023030,TK,248.350,255.920
30,40023031,TK,255.920,261.080
31,40023032,TK,261.080,264.520
32,40023033,TK,264.520,270.520
33,40023034,TK,270.520,287.030
34,40023035,TK,287.030,301.370
35,40023036,TK,301.370,306.850
36,40023037,TK,306.850,325.560
37,40023038,TK,325.560,329.800
38,40023039,TK,329.800,339.780
0,40024001,TK,0.900,10.340
1,40024002,TK,10.340,22.420
2,40024003,TK,22.420,37.520
3,40024004,TK,37.520,43.550
4,40024005,TK,43.550,50.800
5,40024006,TK,50.800,61.990
